产品名,网址,给谁用,输入,输出,价格,解决什么问题,为什么值得继续看,AITDK月访问量,Top Keywords,Top Regions
A2E,https://a2e.ai/,市场营销、自媒体创作者、小型商业团队制作宣传视频、为不愿意出镜的人制作数字人,图片、视频、提示词、音频,视频、图片、音频,Free：$0 / Pro：$14.9/月；$29.9/3个月；$89.9/年，每积分0.0099 美元 / ultra：$59.9/月；$119/3个月；$365/年，每积分0.0067 美元 / 额外积分：按需一次性购买，,将图片转视频、头部互换、换脸、会说话的照片、有声视频、唇语同步，文字转图像，语音克隆，视频转音频等功能都集成在一个网站中，可制作产品营销、电子学习、内部培训、视频翻译等视频，使用AI虚拟数字人形象，不用真人出镜，解决了用户要制作宣传视频和营销视频时，时常要跨平台协作的问题,聚集了20多个功能以及20多个主流模型的视频生成类产品网站。入门操作门槛低，并有免费额度，功能覆盖广，月访问流量大,6.24M,"a2e,a2e ai,video a2e,a2e.ia,head swap a2e",United States、Brazil、Germany、Mexico、Spain
Magnific,https://www.magnific.com/,商业广告制作团队，产品拍摄，品牌推广活动，电影制作,图片、视频、提示词、音频,视频、图片、音频、3D场景,"Premium：$20/month,年度$14.5/month / premium+:$45/month,年度$33.75/month / pro:$280/month,年度$210/month",所有工具即刻可用，打开所需，创作所想，一个地方，整个团队使用项目整理品牌素材，生成内容工作流，将任何复杂的品牌工作流保存为应用程序下，一个人可一键运行，简化了创作过程，降低了创作门槛，使宣传变得更加简单,精选了四个细分方向，分别是图像、视频、音频、3D场景，并且在每一个细分领域下又做了非常多的小工具，比如说图像里面有AI图像生成器、图像编辑器、图像放大器、图像扩展器、变体电影镜头、背景艺术漆、皮肤增强剂，在视频这个领域下面又有视频生成器、视频项目编辑器、剪辑编辑器、视频升频器，说话音频，在音频的下面又有文本转译、语音音效生成器、音乐生成器，基本可以算作是国内的剪映，支持了20多种全球领先的最新模型,89.96M,"freepik、magnific,magnific ai,freepick,80","India,Brazil,United States,Indonesia,Mexico"
synthesia,https://www.synthesia.io/?ref=producthunt,"销售赋能,员工培训,教程视频制作,AI虚拟形象制作,多语言翻译",图片、提示词、视频、语音、音频、脚本、PDF文件、录屏、视频,视频、图片、音频,start:$14/mon / creator:$59/mon,解决了销售赋能、客户服务、营销解释、视频培训，内部沟通这些方面的需要的视频宣传，让任何人都能轻松制作专业视频，无需麦克风、摄像机、演员或者专业工作室。实现了规模化和经济实惠,"特点是面向企业的一体化人工智能视频平台，可以创作人工智能虚拟形象和160多种语言的配音，制作专业级视频，可立即将任何内容转化为AI视频，自动将现有的文档、链接或想法转换为符合品牌风格的AI视频，并且可以将视频导出为SCorM格式，以便兼容任何LMS系统,并且可以在生成完视频之后做数据分析来了解哪些内容有效，通过观看次数、流失率和完成率",1.82M,"synthesia,free ai video generator,heygen,synthesia ai,ai video generator free","United States,Unitedkingdom, India,philippines,Germany"
LEONARDO.AI,https://leonardo.ai/?ref=producthunt,艺术创作者、设计师、动画师、摄影师、营销人员、品牌销售人员、开发者,"提示词,图片,视频，音频",图片、视频、音频,"月度计划,Essential 12美元一个月，Premium 30美元一个月，Ultimate 60美元一个月 / 年度计划，Essential 10美元一个月，Premium 24美元一个月，Ultimate 48美元一个月",将设计变得更为简单，让不同背景的人都可以进行艺术创作，并且使编辑也变得更加简单,可用于多个行业，可以用于营销工具、平面设计、按需印刷、摄影、室内设计、建筑学。将多个功能集成为一体，比如说社交媒体帖子生成器、AI故事版生成器、AI角色生成器、AI图像生成器、AI视频生成器、图像放大器、图像编辑器、视频编辑器，将所有工具都打包在一个大的平台，并且平台内附上了多个教程，比如说使用教程和提示词撰写教程,8.83M,"leonardo ai,leonardo,leonardo ia,ai video generator,ai photo editor","United States,India,Russia,Indonesia,Germany"
Magic Hour,https://magichour.ai/?ref=producthunt,内容创作者、市场营销团队、电商品牌、开发者、教育者或者学生,提示词、图片、视频、音频,图片、视频、音频,"月度计划，creator, 19美元每个月，PRO, 39美元每个月，Business 99美元每个月 / 年度计划，Creator 12美元每月，PRO 25美元每月，Business 66美元每月",让视频创作变得如此简单，让视频换脸也变得非常方便,"这个网站的功能出奇的简单，只有三个，AI video、AI image、AI audio,但胜在在每一个细分领域下的功能做得都比较全。比较有意思的是，AI video下面做了人物换脸，对于任何视频，比如说名场面、电影中的人物，都可以进行换脸操作,在音频领域也可以进行声音的克隆、声音的替换，音乐的生成,在图片方面也是可以进行编辑的，特点主要是做的是在视频或者图片中对于某一个部位的替换",1.87M,"face swap,face swap ai,magic hour,ai face swap,magic hour ai","United States,India,Russia,United Kingdom,Netherlands"
DeeVid AI,https://deevid.ai/home,内容创作者、广告营销团队,图片、视频、提示词、音频,图片、视频、音乐,"月度计划:Lite, 10美元每个月，PRO 25美元每个月，Premium, 199美元每个月 / 年度计划，lite, 120美元每年，PRO, 300美元每年，premium, 1428美元每年","将图片转视频，文字转视频，视频转视频，然后还有配上音乐、语音，这些都集成在一个平台上，让内容创作可以在本网站上一气呵成,大大减少了跨平台的时间，而且也集成了20多种前沿模型,用户可以自由调用","有热门视频模板模块，让创作变得更加轻松,比较有特点的是video to video这个功能，可以将现有的视频转化为全新的风格和格式，并且添加特效改变整体氛围，或者将视频转换为不同类型，整体的效果是画面不变，但是可以转化为动漫风、像素风、电影风这种不同风格的画面",3.77M,"capcut,higgsfield,deevid ai,heygen,kling ai","Japan, unitedstate Korea, republic of, Brazil,taiwan"
Domo AI,https://www.domoai.app/,内容创作者、营销团队、社交媒体运营者、动画爱好者,文字、图片、视频、参考图片/视频（动作与风格参考）,动画/写实/自定义风格视频、角色动画视频、口型同步视频、去背/升频视频,Basic $6.99/月（年付）、Standard $19.59/月、Pro $48.99/月、Team $99/席位/月,把现有视频转为动漫、写实或自定义风格；用参考图/视频引导动作和风格；角色动画、口型同步、背景移除、视频升频,明确的 Video-to-Video 和风格参考功能；支持动作与风格参考；角色动画一键生成；500万+创作者,1.83M,"domoai,  domo ai,  face swap ai,  face swap,  image to video ai free","Japan 33.74%,  United States 14.45%,  India 6.61%,  Spain 2.6%,  United Kingdom 2.44%"
Viggle AI,https://www.viggle.ai/,meme创作者、短视频创作者、社交媒体用户、游戏/动画爱好者,图片、视频（动作参考）、文本提示,角色动画视频、meme视频、动作迁移视频、换脸视频,需登录查看,让静态图片角色按照参考视频动作动起来；把任何人 remix 成病毒 meme；实时换脸、动作控制,专注动作迁移和角色动画；4000万+用户；支持 PINOC 从视频提取骨骼动画,1.54M,No Data,No Data
Creatify,https://creatify.ai/,电商、游戏、应用、代理机构、DTC品牌、UGC创作者,产品URL、图片、视频、脚本、参考广告,AI生成的视频广告、UGC广告、产品演示、广告变体,免费版10积分/月；Starter $39/月；Pro $99/月；企业版定制,从产品页面一键生成转化型视频广告；克隆成功广告；批量生成变体；追踪竞品广告,广告克隆器（Ad Cloner）直接对应参考视频复刻；支持URL转视频；G2评分4.8/5；18000+品牌,823.36K,No Data,No Data
Pollo AI,https://pollo.ai/,营销人员、内容创作者、电商、品牌,文本、图片、视频、URL、产品图片、品牌参考,营销视频、广告、产品视频、社交内容、图片、语音,Lite $15/月（年付，300积分）；Pro $29/月（800积分）；Ultra $139/月（5000积分）,一站式AI创意套件；URL/产品图生成视频广告；克隆视频广告；支持多达50个参考；不用切换多个工具,"明确的""Clone Video Ads""和""up to 50 references""能力；聚合多个顶级视频模型；AI Agent 端到端创作",6.50M,No Data,No Data
Luma AI,https://lumalabs.ai/,专业创意团队、电影制作人、品牌、营销机构,文本、图片、视频、品牌参考、角色参考、风格参考,AI视频、AI图像、音频、品牌一致资产,Plus $30/月（10000积分）；Pro $90/月（40000积分）；Ultra $300/月（150000积分）,用Ray 3.2模型实现精确的逐帧视频控制；Uni-1模型保持品牌、角色、风格参考一致性；AI Agent自动生成和优化创意资产,明确的Video-to-Video和Image-to-Video定价；Uni-1品牌/角色/风格参考直接相关Reference-to-Video,2.84M,No Data,No Data
Runway,https://runway.com/,创意人员、视频创作者、企业、开发者,文本、图片、视频、音频,AI视频、图像、音频、3D/模拟内容,免费版125一次性积分；Standard $12/月（625积分/月）；Pro $28/月（2250积分）；Max $76/月（9500积分）,完整的云端创意套件；Gen-4.5等模型生成和编辑视频、图像、音频；支持企业工作流,顶级AI视频模型Gen-4.5；6000万+创作者；明确支持视频生成和编辑,978.19K,No Data,No Data
Pika,https://pika.art/,社交媒体创作者、营销人员、创意爱好者,文本、图片、视频,AI视频、特效视频、换脸/添加元素视频、动画视频,免费版80积分/月；Standard $8/月（700积分）；Pro $28/月（2300积分）；Fancy $76/月（6000积分）,Pikaffects（图片转视频特效）、Pikaswaps（视频换脸/替换）、Pikadditions（添加元素）、Pikatwists（风格转换）、Video-to-Video,明确的Pikaswaps和Pikaffects Video-to-Video能力；多种视频编辑特效；适合短视频创作,1.81M,No Data,No Data
Kling AI,https://kling.ai/,AI视频创作者、开发者、企业,文本、图片、视频、音频,AI视频、AI图像、口型同步视频、动作控制视频、音效,Creative Studio订阅需登录查看；API按量：Kling 3.0 Turbo $0.112/s（720P带音频），标准套餐$700/5000单位起,Kling 3.0/3.0 Omni 视频生成；Motion Control动作控制；Multi-element Video Editing多元素视频编辑；Video Extension视频延长,明确的Motion Control和Multi-element Video Editing支持参考视频/动作；Omni模型支持视频输入,12.51M,No Data,No Data
Higgsfield AI,https://higgsfield.ai/,AI视频创作者、无脸频道运营者、电影制作人、营销人员,文本、图片、视频、音频,AI视频、AI图像、音频、营销素材、电影场景,Starter $19/月（270积分）；Plus $47/月（1200积分）；Ultra $99/月（3000积分）；企业定制,Seedance 2.5等模型生成高质量视频；Faceless Studio做无脸频道；Cinema Studio做电影场景；Marketing Studio做营销素材；Viral Presets快速特效,Seedance是高质量视频模型；Faceless Studio/Cinema Studio/Marketing Studio覆盖多个视频工作流,31.32M,No Data,No Data
PixVerse,https://pixverse.ai/,视频创作者、营销人员、电商、企业,文本、图片、视频、产品图、URL,AI视频、营销短片、角色一致视频、Canvas工作流视频,需登录查看,PixVerse V6/C1/R1模型生成视频；Marketing Hub做营销视频；Canvas节点化工作流；产品视频二创；角色一致性,明确的产品视频二创和Canvas工作流；自研视频模型；支持参考素材节点化编排,6.42M,No Data,No Data
Vidu,https://www.vidu.com/,AI 视频创作者、广告电商、动漫影视、多主体内容生产者,文本、图片、参考素材（人物/场景/道具）,AI 视频,免费额度 + 订阅 $15-99/月（积分制）,生数科技出品，国内首个自研视频大模型（U-ViT 架构，早于 Sora 3 个月），2024-09 全球首创「参考生视频」，多主体一致性是核心卖点,上线 8 个月生成 3 亿视频、ARR 达 $20M，「参考生视频」品类的开创者，与本研究方向高度相关,约 3.8M（NavTools，2026-07）；aixzd 口径 376.74K,vidu、vidu studio、vidu q3,美国 15.79%、日本 13.72%、印度 8.55%、墨西哥 4.97%（NavTools）
Hailuo AI（海螺）,https://hailuoai.video/,短视频创作者、社媒运营、营销人员、角色扮演内容创作者,文本、图片、音频（角色扮演）、参考,AI 视频、图像、meme,免费额度 + 订阅；API 约 0.8 元/秒；网页版具体价格未公开,MiniMax 出品，性价比最高的视频生成之一，支持角色扮演与参考生视频，API 约 0.8 元/秒，曾以「猫咪跳水」等病毒视频出圈,月访问一度超越 Sora（a16z 榜单第 12），MiniMax 港股上市主体产品，2025-10 以 1173 万访问登出海榜第 7,5.61M（Semrush，2026-07）；AIPURE 口径 14.4M,hailuo ai、hailuoai、海螺ai、海螺,中国 60.96%、美国 6.61%、俄罗斯 3.39%、中国台湾 3.22%、巴西 2.93%（findmoreai 口径）
即梦 Dreamina,https://jimeng.jianying.com/,中文创作者、短视频博主、广告营销、设计师、数字人需求者,文本、图片、视频、音频,AI 视频、图像、数字人,免费额度 + 基础会员 69 元/月（725 积分）；2026 年连续三轮涨价,字节跳动 Seedance 模型的消费端产品，与剪映/抖音生态打通（素材免导入、一键跳转），功能最全（参考生视频、数字人、智能分镜、音画同步）,全球 AI 视频网站访问量第二（约 12.8M/月），月活 9249 万，「剪映+抖音」生态闭环是核心壁垒，Seedance 2.0 被称为「又一个 DeepSeek 时刻」,约 12.8M（头条引述，2026）；猫目口径 733.25 万,即梦、即梦AI、seedance,中国大陆 86.28%、美国 4.24%、中国香港 2.94%、中国台湾 2.80%、新加坡 1.02%
Sora（OpenAI）,https://sora.com/,ChatGPT Plus/Pro 用户、创作者,文本、图片、参考,AI 视频（含原生音频）,ChatGPT Plus $20/月起,OpenAI 的视频生成模型，物理模拟与叙事能力标杆，但已宣布关停独立 Web/App，转向 ChatGPT 内功能,2026-02 月访问 2117 万、较高点跌约 70%，OpenAI 已宣布关停 Sora 独立站——「技术标杆但商业模式不可持续」的警示案例，其退出留下的市场正被 Kling/Seedance 等瓜分,约 21.2M（万联证券，2026-02，此后大幅下滑）,sora、sora 2、openai sora,未知（无公开地区分布）
HeyGen,https://www.heygen.com/,营销/销售/培训团队、出海企业、本地化团队,文本、音频、视频、图片,AI 数字人视频、翻译配音视频,免费 1 分钟；Creator $24-29/月；Team $39/座；企业定制,数字人视频生成 + 175 种语言翻译配音双龙头，Avatar IV 唇形同步业界最佳，病毒式翻译演示视频获客,10.7M 月访问（AI 视频工具类第一），数字人赛道绝对头部，视频翻译能力与 Reference-to-Video 场景互补,10.7M（Toolify）,heygen、heygen ai、hey gen、hygen、hyperframes,美国 17.89%、印度 10.61%、巴西 7.77%、巴基斯坦 4.12%、德国 3.34%
Arcads,https://www.arcads.ai/,效果营销团队、广告代理、DTC 品牌,文本脚本、产品信息,AI UGC 演员视频广告（300+ AI 演员）,$110-810/月（无免费试用）,单镜头 AI 演员真实感最强，支持人口统计学分层与快速 A/B 测试,法国团队，$25M 融资，AI UGC 广告品类开创者之一,592K（aitoolnet/Similarweb，2026-06）；SeekTool 口径 478.1K,arcads、ai ugc,美国 23.33%、印度 7.27%、英国 4.04%、印尼 3.89%、加拿大 3.42%
Twelve Labs,https://www.twelvelabs.io/,开发者、企业（媒体/体育/广告/政府）,视频文件/URL（API）,视频搜索、语义分析、分类、自动标签、摘要,免费 10 小时索引；开发者按量（$0.042/分钟）；企业定制,解决「视频黑盒」问题——让机器像人一样理解视频（Marengo 嵌入 + Pegasus 生成），视频理解基础设施,Amazon/NEA/Naver $100M 融资，视频理解 API 事实标准，与 Qencode 合作进入媒体管线，是「视频分析」方向的核心标的,124.8K（Toolify）,twelve labs、twelvelabs、12labs、트웰브랩스、12 labs,美国 34.37%、韩国 7.81%、英国 6.48%、波兰 5.23%、印度 4.04%
VideoLens,https://videolens.cc/zh,短视频创作者、编导、MCN、电商商家、AI 视频创作者,抖音/小红书/TikTok 链接或本地视频,逐镜拆解报告、逐字稿、爆款公式分析、可投喂 Sora/Kling/Runway 的提示词、MCP 接入,按分钟计费，基础包 60 分钟 ¥6.9（约 ¥0.1/分钟）；注册送免费额度,创作者手动拆解爆款视频耗时数小时，VideoLens 几分钟完成「分析+反推提示词+剧本」闭环，事实优先不编造数据,与 Reference-to-Video 闭环最相关的独立产品之一（分析→提示词→生成），支持 MCP 接入 Claude 等客户端，V2EX/即刻社区高口碑，独立开发者产品,未知（独立开发者产品，无公开统计）,视频反推提示词、视频转提示词、爆款视频拆解、分镜分析,未知
Video to Prompt,https://videotoprompt.net/,AI 视频创作者、提示词工程师,视频,视频描述/提示词,未公开（官网有 Pricing 页）,将视频转换为详细文字描述，用于内容理解和再创作，纯 SEO 流量产品,「video to prompt」关键词排名靠前，23.6K/月，视频反推提示词赛道的 SEO 样本,23.6K（Toolify）,video to prompt、video to prompt generator、videotoprompt、video to text to create prompt,美国 18.55%、越南 15.43%、巴基斯坦 8.43%、印度 8.42%、孟加拉国 5.82%
Reel to Prompt,https://reeltoprompt.com/,社媒创作者,Instagram Reels/TikTok/YouTube Shorts 链接或上传,适配 Sora/Veo/Midjourney/Runway/Pika 的提示词,免费 5 次/小时；无限需自带 API key,将社媒视频反推为生成器可用的提示词，按目标模型语法塑形输出，无需注册,极简免费工具，「无需注册」获客策略，提示词反推赛道的轻量玩家,未知,reel to prompt、video to prompt、sora video to prompt,未知
Descript,https://www.descript.com/,播客主、YouTuber、内容创作者、访谈类视频制作者,音频/视频录制、文本,编辑后的视频/音频、文字稿、剪辑,免费；Hobbyist $16/月（年付）；Pro；Business $50/人/月,「像编辑文档一样编辑视频」——基于转录文本的剪辑范式，Underlord AI 副驾驶,3.4M/月，文本驱动剪辑的品类定义者,3.4M（Toolify）,descript、descript ai、descript pricing,美国 36.92%、印度 8.57%、英国 5.74%、菲律宾 4.54%、尼日利亚 4.18%
